ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
XSMO,3.0,2026-03-31,18.8769,0.61,20.9236,-24.7637,0.36,0.21041130319148937,2.89,6.502,0.196944
MDYV,3.0,2026-03-31,10.8536,1.87,18.1991,-22.583,0.15,0.1966776595744681,2.57,6.4309,-0.086221
IPAC,3.0,2026-03-31,14.6925,4.14,16.3587,-15.4553,0.09,0.11750811170212766,2.59,,0.034209
EQWL,3.0,2026-03-31,16.0712,1.71,13.0559,-14.9506,0.25,0.06597234042553192,2.6,7.1378,0.166705
HDEF,3.0,2026-03-31,16.7213,3.66,13.0168,-11.1533,0.09,0.20406941489361702,2.23,,0.098345
IHDG,3.0,2026-03-31,8.9662,1.97,13.6373,-18.8802,0.58,0.28058683510638294,2.21,,-0.025
EPI,3.0,2026-03-31,9.1174,0.0,15.2464,-21.8922,0.84,0.8801236702127659,2.17,,0.202378
ICLN,3.0,2026-03-31,-0.965,1.47,24.6522,-45.2976,0.39,3.2494791223404254,3.21,,0.199296
FNCL,3.0,2026-03-31,17.9582,1.75,17.0832,-17.2937,0.084,0.11773510638297871,2.17,0.827,-0.060363
SKYY,3.0,2026-03-31,17.7953,0.0,25.5653,-31.8036,0.6,0.20042686170212767,3.31,1.3461,0.044927
EWW,3.0,2026-03-31,11.7311,3.21,23.4896,-31.1749,0.5,2.1558807180851063,1.97,,0.059318
SPGP,3.0,2026-03-31,9.4529,0.98,17.4255,-22.8724,0.36,0.23654853723404257,2.19,5.6243,-0.098609
EPP,3.0,2026-03-31,10.9113,3.59,16.7331,-19.2907,0.47,0.3603474734042553,2.11,,0.05324
MLPA,3.0,2026-03-31,17.7182,7.14,14.0741,-14.1987,0.77,0.15486037234042552,2.1,0.851,0.161099
FTHI,3.0,2026-03-31,14.1475,8.99,11.5804,-15.9183,0.76,0.3093917553191489,2.26,,0.441752
OIH,3.0,2026-03-31,15.3737,1.2,31.4173,-43.7987,0.35,0.5154043882978723,2.37,0.8,0.046653
FAS,3.0,2026-03-31,32.308,11.78,48.2339,-43.103,0.88,0.7638007978723405,2.08,0.8313,0.115482
PHO,3.0,2026-03-31,8.4094,0.58,16.3174,-19.186,0.59,0.06709029255319149,1.98,2.2272,0.003212
ICF,3.0,2026-03-31,6.5445,2.67,16.8853,-17.2532,0.32,0.12924547872340425,2.05,0.8,-0.132506
DES,3.0,2026-03-31,11.0614,2.54,19.4767,-25.1623,0.38,0.1377218085106383,2.08,6.592,0.247107
QDF,3.0,2026-03-31,15.488,1.69,14.11,-18.0099,0.39,0.03744281914893617,2.29,3.8573,0.106245
FIDU,3.0,2026-03-31,19.4217,1.04,16.9785,-20.522,0.084,0.07794135638297872,2.1,1.0,0.166765
IWL,3.0,2026-03-31,19.4708,0.96,15.22,-19.1529,0.15,0.06798869680851063,2.23,3.5858,-0.259101
IYJ,3.0,2026-03-31,14.8567,0.83,16.1225,-19.6707,0.38,0.06938989361702129,1.78,1.8339,-0.022112
IYG,3.0,2026-03-31,19.7051,1.18,17.9703,-18.5355,0.38,0.08627859042553192,1.9,0.8,0.151669
XSOE,3.0,2026-03-31,14.8113,1.65,17.0888,-19.9576,0.32,0.2985408244680851,2.24,,0.249985
ARKQ,3.0,2026-03-31,30.8691,0.27,30.4808,-30.7624,0.75,0.14461343085106385,2.36,2.7267,0.071359
EWP,3.0,2026-03-31,28.9045,2.27,18.4734,-12.1882,0.5,0.43839002659574466,1.69,,0.015296
TILT,3.0,2026-03-31,17.0054,1.21,15.4422,-19.848,0.25,0.009673670212765958,2.2,6.605,0.374074
PICK,3.0,2026-03-31,13.803,2.61,25.1039,-32.5223,0.39,0.3356839095744681,2.18,,0.201015
PXH,3.0,2026-03-31,18.7243,3.81,17.3954,-17.7217,0.47,0.23791050531914895,2.02,,0.26323
USD,3.0,2026-03-31,88.3773,0.5,76.7356,-64.4576,0.95,1.259604255319149,3.05,,-0.182405
XSD,3.0,2026-03-31,16.3645,0.25,37.0537,-41.2489,0.35,0.05774454787234042,3.34,1.0,0.033445
FIW,3.0,2026-03-31,8.0204,0.8,16.4187,-18.32,0.51,0.0448468085106383,1.76,2.4343,0.226601
HEDJ,3.0,2026-03-31,11.451,1.67,15.2727,-15.931,0.58,0.12564281914893616,1.84,,-0.041433
LIT,3.0,2026-03-31,6.2864,0.43,30.9734,-53.01,0.75,0.3801656914893617,2.22,,0.013209
RWR,3.0,2026-03-31,8.4328,3.69,17.2036,-18.8494,0.25,0.29235013297872336,1.8,0.8,-0.175681
DGS,3.0,2026-03-31,13.7814,3.58,14.1523,-19.3102,0.58,0.19743936170212767,1.83,,0.459465
REGL,3.0,2026-03-31,9.5029,2.26,15.3063,-16.965,0.4,0.062343617021276596,1.68,,-0.046547
HACK,3.0,2026-03-31,16.3975,0.08,21.7808,-21.9029,0.6,0.10566662234042552,1.73,,-0.028249
IEV,3.0,2026-03-31,13.9847,2.76,14.934,-14.6341,0.6,0.3186288563829787,1.76,,-0.050697
FDIS,3.0,2026-03-31,13.4025,0.79,20.9416,-27.4283,0.084,0.09332952127659574,1.8,0.8132,-0.070444
IDU,3.0,2026-03-31,14.2611,2.13,15.175,-17.2115,0.38,0.1224561170212766,1.42,,0.230876
IYT,3.0,2026-03-31,10.7111,1.07,21.2666,-26.3516,0.38,0.52663125,2.36,0.8,-0.07908
PWB,3.0,2026-03-31,24.8146,0.0,18.7499,-22.1028,0.55,0.02882034574468085,2.18,3.3887,0.117549
RPV,3.0,2026-03-31,15.0786,2.41,15.9591,-15.5023,0.35,0.2358878989361702,1.82,7.4294,-0.076034
RWJ,3.0,2026-03-31,11.9262,1.13,22.7392,-29.2883,0.39,0.15371382978723405,1.87,6.9686,0.252556
FCOM,3.0,2026-03-31,24.1594,1.0,18.1599,-21.1563,0.084,0.1207344414893617,1.83,0.8,0.109703
XCEM,3.0,2026-03-31,17.5056,3.18,16.3116,-18.9192,0.16,0.18577553191489363,2.04,,0.0
EMGF,3.0,2026-03-31,17.9365,2.44,16.6283,-17.65,0.26,0.09775425531914894,1.92,,0.369501
ROBO,3.0,2026-03-31,8.0985,0.43,21.5132,-27.9192,0.95,0.09262872340425532,2.02,,0.131689
VIOV,3.0,2026-03-31,10.2368,1.76,21.6222,-28.4402,0.1,0.057902925531914895,1.78,7.3206,0.16552
PKW,3.0,2026-03-31,16.7366,0.94,15.5814,-20.9111,0.62,0.05260119680851064,1.61,,0.150166
RPG,3.0,2026-03-31,16.2346,0.22,20.9864,-24.75,0.35,0.3030628989361702,2.13,5.3362,-0.074794
IYE,3.0,2026-03-31,17.0881,2.05,21.1417,-20.3733,0.38,0.6319808510638297,1.61,,-0.001077
XNTK,3.0,2026-03-31,28.6198,0.25,24.9865,-28.105,0.35,0.02187659574468085,2.22,1.2077,0.037787
QQEW,3.0,2026-03-31,8.6237,0.35,17.7866,-21.4249,0.55,0.0920219414893617,1.81,4.6083,-0.157066
ARKW,3.0,2026-03-31,31.6961,1.95,35.3611,-36.2132,0.76,0.238393085106383,1.83,2.6016,0.026127
DTD,3.0,2026-03-31,14.9603,1.98,12.1029,-14.4105,0.28,0.031906648936170214,1.6,,0.107618
EWL,3.0,2026-03-31,11.3177,1.74,14.2348,-13.4757,0.5,0.538928324468085,1.7,,0.04021
PSI,3.0,2026-03-31,32.0804,0.08,37.4272,-41.0693,0.56,0.0821061170212766,2.64,0.8,0.108148
EUSA,3.0,2026-03-31,12.2117,1.68,14.4609,-18.2041,0.09,0.0577468085106383,1.74,7.4294,0.148633
IAI,3.0,2026-03-31,23.1933,1.18,20.114,-23.1367,0.38,0.11746103723404255,1.43,,0.148093
IMCB,3.0,2026-03-31,12.896,1.38,15.1802,-19.8005,0.04,0.030256117021276598,1.58,,-0.076053
SPGM,3.0,2026-03-31,17.3496,1.93,14.2118,-16.9037,0.09,0.08467952127659574,1.67,,0.037165
XHB,3.0,2026-03-31,14.2503,0.79,25.9437,-30.5265,0.35,2.5957940159574466,1.58,,-0.153128
