ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
XYLD,0.212253829120207,0.8061252580867173,0.1000722543352601,1.0,0.2535700820173444,0.4978269839086783,0.6451535937966001,0.7194
APUE,0.3005227056249364,0.4468685478320717,0.6109104046242775,0.2767494356659142,0.168206238835171,0.6248617796726721,0.406517509993789,0.7167
VGT,0.5774649877124751,0.1743289745354439,0.7424132947976879,0.1893905191873589,0.6216151983470786,0.1,0.4680759664766867,0.7154
QQQM,0.4406757688642788,0.2486579490708878,0.7147157996146435,0.2076749435665914,0.7730580840839631,0.3196836748727822,0.4724773378352126,0.7152
VBK,0.540930754017177,0.1247763248451479,0.4637524084778419,0.2056433408577878,0.436933587434967,0.7261009489753816,0.690231122615103,0.7136
TSPA,0.3030562982044342,0.4840330350997938,0.6198217726396917,0.2320541760722347,0.1957759302673954,0.7022734149360472,1.0,0.7122
PRF,0.2367305114087833,0.4840330350997938,0.5061416184971098,0.4169300225733634,0.3447098994213269,1.0,0.8093275363429162,0.7089
IYY,0.3086623748794938,0.3105987611837578,0.5697254335260116,0.3051918735891648,0.1659319529856393,0.6661050749553018,0.1766644686259327,0.7068
ESGU,0.3166349840220579,0.2486579490708878,0.5579238921001927,0.3173814898419865,0.456908712597921,0.6829514509696052,0.3142118382278502,0.7048
QQQ,0.4435460060419223,0.2858224363386098,0.7137524084778419,0.199548532731377,1.0,0.3130614771008114,0.2015902505492822,0.704
DCOR,0.3182980892356642,0.2362697866483139,0.5526252408477842,0.3112866817155756,0.1802145352126922,0.8458822720396093,0.406517509993789,0.7005
VLUE,0.3203053349537427,0.2486579490708878,0.5598506743737957,0.5063205417607224,0.4178875136963993,0.4821441342318799,0.7583514147265081,0.7004
IOO,0.3213391344784642,0.5583620096352376,0.6511319845857418,0.2950338600451467,0.3066659536651159,0.3732430202173015,0.5760006785652723,0.6946
VTWO,0.5494070678698801,0.1371644872677219,0.4678468208092485,0.3559819413092551,0.5671284181904279,0.8283798652179891,0.6745020890507475,0.6946
IVW,0.4192224611993891,0.2858224363386098,0.6899084778420038,0.1873589164785553,0.7730682829223214,0.3975409159675422,0.1955636059177458,0.6938
ACWI,0.254307396054756,0.4592567102546457,0.518184007707129,0.4230248306997743,0.7033637371700887,0.7107151698528399,0.547397510650465,0.6933
XLRE,0.3253410812599764,0.1619408121128699,0.2383188824662813,0.796839729119639,0.6236802945603097,0.1,0.1,0.6899
MTUM,0.4211769267085799,0.2486579490708878,0.6682321772639692,0.2665914221218961,0.5132347544947422,0.5474625223490578,0.4854253482435283,0.6857
