ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity
GSLC,0.7877,0.3001471262677025,0.1743289745354439,0.5410645472061657,0.3153498871331829,0.3900823735404868,0.6818374363911428
USMC,0.7875,0.305401489315813,0.2114934618031659,0.5870664739884394,0.2706546275395034,0.1913650714437619,0.5447641314812267
FNDF,0.7859,0.2337483642698917,0.3725395732966278,0.5273362235067438,0.7602708803611739,0.539705905286513,1.0
GUSA,0.7856,0.3141365782484851,0.1867171369580179,0.5704479768786128,0.3255079006772009,0.1417388193150458,0.7062714894787511
USCL,0.7832,0.307526840106311,0.1619408121128699,0.5287813102119461,0.3498871331828442,0.1710659779311196,0.7430587264475311
VBR,0.7821,0.4530197862505683,0.1247763248451479,0.4326830443159922,0.4880361173814899,0.5135588943076639,0.9097771970843074
PVAL,0.7819,0.2343890682505676,0.7441844459738475,0.5998314065510597,0.2990970654627539,0.3767823837551222,1.0
VIS,0.7818,0.3760231847788704,0.1743289745354439,0.6272880539499037,0.2970654627539504,0.2767291760904122,0.1247558795213863
XAR,0.7798,0.4453973582913462,0.4964211975223677,0.9259393063583816,0.1711060948081264,0.2589187228821533,0.1247558795213863
IWL,0.7745,0.3140750013381163,0.2486579490708878,0.6089836223506744,0.2950338600451467,0.1432790171803817,0.4448246458533901
JQUA,0.7735,0.2497966958147868,0.2114934618031659,0.4890414258188824,0.3559819413092551,0.3520798765990292,0.6305803878421125
FLQL,0.7658,0.3174100084668103,0.2486579490708878,0.607538535645472,0.3356659142212189,0.1345424402854579,0.605663595103837
EQWL,0.7609,0.2143426150934742,0.3725395732966278,0.4757947976878612,0.4474040632054177,0.1573733627005155,0.8844890661532112
RECS,0.7565,0.3028352343045492,0.2486579490708878,0.5769508670520231,0.2686230248306998,0.2884965251865096,0.5932237656443404
XLG,0.7559,0.3643073267186124,0.3105987611837578,0.6978564547206165,0.2422121896162528,0.4882601011475825,0.3821303809654792
ESGV,0.7547,0.3481737069653653,0.1743289745354439,0.5721339113680155,0.3051918735891648,0.3607683559701051,0.4529321963966441
SPYX,0.7523,0.3046779442847933,0.3105987611837578,0.6000722543352601,0.2990970654627539,0.1703399735354158,0.4798170815568697
FTEC,0.7495,0.5813426343103962,0.1668960770818995,0.763126204238921,0.1934537246049661,0.4299910836122168,0.1
BGIG,0.7475,0.1773020750977276,0.6203028217481076,0.4408718689788053,0.4758465011286682,0.1317215633238042,0.8889203685875394
XLK,0.7466,0.5524907186087807,0.1619408121128699,0.7245905587668593,0.2158013544018058,1.0,0.1
QUAL,0.7459,0.2893884217929938,0.2486579490708878,0.5323940269749518,0.2990970654627539,0.6445964047178415,0.6755246871131894
FVD,0.7447,0.1464906451386032,0.8185134205092913,0.2624036608863198,0.5672686230248307,0.3728710387266033,0.778001650391968
FNCL,0.7434,0.3204421797919782,0.1668960770818995,0.5222784200385356,0.455530474040632,0.1490872141026304,0.1033420437353871
IWB,0.7393,0.3085669119583547,0.2486579490708878,0.5615366088631984,0.3153498871331829,0.609164092728494,0.7525154724247007
IWD,0.7365,0.233323907089235,0.2858224363386098,0.4346098265895953,0.4392776523702032,0.76498309683421,1.0
RSP,0.7345,0.2786938186028128,0.3105987611837578,0.3864402697495183,0.4291196388261852,0.962510553802358,1.0
DFAU,0.7339,0.3157732933576477,0.2114934618031659,0.5591281310211946,0.309255079006772,0.3986677609990854,0.7355700728923119
FDL,0.7331,0.1881147061441774,0.5955264969029597,0.3787331406551059,0.8334085778781039,0.3597627808087597,0.570733049099161
IJR,0.7328,0.5522547401123936,0.1371644872677219,0.3922206165703276,0.3620767494356659,0.8532606857815923,0.9084527575299132
CGUS,0.7323,0.2815050032442465,0.4716448726772198,0.5971820809248555,0.3031602708803612,0.4049920126201771,0.6766263237518909
URTH,0.7303,0.2598833346722086,0.3601514108740538,0.531912331406551,0.4108352144469526,0.3130412710292982,0.6758960253060101
OEF,0.7298,0.3338978662211656,0.3105987611837578,0.6270472061657033,0.2990970654627539,0.4458150707646664,0.4641342318800714
FNDX,0.729,0.2428340204666595,0.3725395732966278,0.5030105973025049,0.4291196388261852,0.643541453694126,1.0
FDVV,0.7284,0.237200330108152,0.2486579490708878,0.4548410404624277,0.7094808126410835,0.3643478584255736,0.778001650391968
VFH,0.7241,0.3200904661650291,0.1743289745354439,0.51866570327553,0.4270880361173815,0.3917692843041379,0.1035648466510796
WTV,0.7241,0.3123616402897814,0.2114934618031659,0.5473265895953757,0.4636568848758465,0.1730698732626952,1.0
DIA,0.7195,0.2382240321362373,0.2610461114934619,0.4175096339113679,0.408803611738149,0.766696224282827,0.5831233667996149
XYLD,0.7194,0.212253829120207,0.8061252580867173,0.1000722543352601,1.0,0.2535700820173444,0.4978269839086783
APUE,0.7167,0.3005227056249364,0.4468685478320717,0.6109104046242775,0.2767494356659142,0.168206238835171,0.6248617796726721
VGT,0.7154,0.5774649877124751,0.1743289745354439,0.7424132947976879,0.1893905191873589,0.6216151983470786,0.1
QQQM,0.7152,0.4406757688642788,0.2486579490708878,0.7147157996146435,0.2076749435665914,0.7730580840839631,0.3196836748727822
VBK,0.7136,0.540930754017177,0.1247763248451479,0.4637524084778419,0.2056433408577878,0.436933587434967,0.7261009489753816
TSPA,0.7122,0.3030562982044342,0.4840330350997938,0.6198217726396917,0.2320541760722347,0.1957759302673954,0.7022734149360472
PRF,0.7089,0.2367305114087833,0.4840330350997938,0.5061416184971098,0.4169300225733634,0.3447098994213269,1.0
IYY,0.7068,0.3086623748794938,0.3105987611837578,0.5697254335260116,0.3051918735891648,0.1659319529856393,0.6661050749553018
ESGU,0.7048,0.3166349840220579,0.2486579490708878,0.5579238921001927,0.3173814898419865,0.456908712597921,0.6829514509696052
