ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
AVDE,3.0,2026-04-15,15.91,2.7,14.81,-13.46,0.23,0.46,16.94,,-0.060298
IWY,3.0,2026-04-15,24.73,0.39,19.4,-23.38,0.2,0.38,17.61,2.3931,0.208279
EFG,3.0,2026-04-15,8.36,2.58,16.51,-17.44,0.34,1.06,15.93,,-0.114158
VTWO,3.0,2026-04-15,14.65,1.26,21.23,-28.04,0.06,2.27,16.85,6.6845,0.163237
IWS,3.0,2026-04-15,13.05,1.48,15.59,-21.19,0.23,0.46,15.25,8.0906,-0.128238
SPSM,3.0,2026-04-15,11.29,1.59,20.53,-28.66,0.03,1.78,15.67,7.1685,-0.136127
XLP,3.0,2026-04-15,2.51,2.65,12.11,-14.55,0.08,13.16,14.65,0.8,-0.325488
GSLC,3.0,2026-04-15,17.69,1.06,14.8,-19.08,0.09,0.29,15.64,5.5006,-0.096944
SCZ,3.0,2026-04-15,11.7,3.27,15.25,-16.18,0.4,1.2,14.87,,-0.109193
ITA,3.0,2026-04-15,26.76,0.49,18.87,-15.88,0.38,0.57,14.33,0.8016,-0.025268
DFUV,3.0,2026-04-15,14.12,1.51,14.75,-18.26,0.21,0.34,14.88,7.4019,0.0
DFIC,3.0,2026-04-15,15.52,2.47,14.26,-13.4,0.22,0.98,14.25,,0.698189
SCHM,3.0,2026-04-15,13.63,1.41,17.76,-23.8,0.04,1.14,14.58,7.1839,-0.011794
SOXL,3.0,2026-04-15,76.92,0.16,104.4,-87.97,0.75,88.44,26.01,,-0.083311
HDV,3.0,2026-04-15,8.78,2.92,11.67,-10.61,0.08,0.53,13.41,4.7676,0.189477
DFAS,3.0,2026-04-15,12.83,1.02,19.74,-26.48,0.26,0.42,14.41,6.9109,0.280647
SPMO,3.0,2026-04-15,31.26,0.91,19.04,-20.28,0.13,0.92,19.93,2.9293,-0.122417
DFAT,3.0,2026-04-15,13.77,1.56,20.42,-26.61,0.28,0.32,13.72,6.1958,0.390781
IWN,3.0,2026-04-15,14.05,1.63,20.83,-27.3,0.24,1.13,14.0,6.7705,-0.13473
IWO,3.0,2026-04-15,14.96,0.48,22.36,-28.92,0.24,0.45,14.73,5.4318,-0.138409
IQLT,3.0,2026-04-15,11.12,2.29,14.9,-14.16,0.3,1.54,13.3,,-0.070494
PAVE,3.0,2026-04-15,25.93,0.86,20.22,-26.49,0.47,1.14,13.54,1.6295,0.119995
VFH,3.0,2026-04-15,16.76,1.61,17.17,-17.65,0.09,0.53,12.3,0.8288,0.245901
SPTM,3.0,2026-04-15,18.46,1.2,14.91,-19.13,0.03,0.58,13.64,5.5835,0.128681
AMLP,3.0,2026-04-15,9.47,7.56,15.51,-15.79,1.01,1.44,12.14,0.8382,0.045675
SCHE,3.0,2026-04-15,12.64,2.94,16.56,-19.35,0.07,1.44,12.74,6.5402,0.024738
ESGV,3.0,2026-04-15,18.98,1.01,16.2,-20.62,0.09,0.22,13.35,3.6513,0.02407
MOAT,3.0,2026-04-15,10.87,1.45,15.66,-22.49,0.46,0.86,11.84,5.637,0.077097
MGV,3.0,2026-04-15,13.21,2.06,12.18,-13.94,0.05,0.23,12.49,7.1378,0.137552
AVUS,3.0,2026-04-15,18.43,1.04,15.47,-20.26,0.15,0.3,13.31,7.1378,0.167898
DFAX,3.0,2026-04-15,15.89,2.51,14.47,-14.21,0.28,0.64,12.08,,-0.21959
VSS,3.0,2026-04-15,12.07,3.35,14.82,-17.57,0.06,0.35,11.86,,-0.028032
ESGD,3.0,2026-04-15,11.74,3.59,15.32,-13.98,0.2,0.35,11.63,,-0.08633
NOBL,3.0,2026-04-15,5.54,2.14,12.81,-16.24,0.35,0.61,11.07,6.812,0.152869
AVLV,3.0,2026-04-15,17.89,1.21,15.36,-20.18,0.15,0.38,12.86,7.6278,0.305543
DUHP,3.0,2026-04-15,15.49,1.09,13.97,-18.06,0.2,0.93,12.08,5.8072,0.0
VLUE,3.0,2026-04-15,18.47,2.0,16.05,-18.96,0.15,0.49,15.87,3.8873,0.214312
DFAU,3.0,2026-04-15,18.44,1.03,15.17,-19.68,0.12,0.6,12.18,5.9347,0.024152
ACWX,3.0,2026-04-15,14.03,2.78,15.07,-14.41,0.32,1.44,11.58,,0.098219
EWZ,3.0,2026-04-15,12.72,4.32,24.45,-37.18,0.59,25.05,10.17,,0.028267
SDVY,3.0,2026-04-15,16.18,1.02,19.65,-26.8,0.58,1.16,10.78,4.4131,-0.003291
IGF,3.0,2026-04-15,11.72,2.96,13.09,-16.22,0.39,0.63,10.6,,-0.049972
BBCA,3.0,2026-04-15,16.96,1.86,15.01,-13.33,0.19,0.28,10.59,,-0.041794
VDE,3.0,2026-04-15,10.27,2.27,21.53,-22.6,0.09,0.55,9.68,0.8,-0.01388
IGV,3.0,2026-04-15,9.57,0.0,24.46,-36.61,0.39,6.03,16.68,0.8653,-0.004003
IJK,3.0,2026-04-15,14.57,0.62,18.81,-25.9,0.17,0.33,10.97,5.3362,0.017259
PBUS,3.0,2026-04-15,19.26,1.14,15.11,-19.33,0.04,0.3,11.37,5.5494,0.038784
GDXJ,3.0,2026-04-15,48.03,2.23,40.57,-32.92,0.51,5.75,8.65,,0.105523
FNDA,3.0,2026-04-15,12.74,1.21,19.79,-26.43,0.25,0.78,8.92,7.758,0.254088
SCHH,3.0,2026-04-15,5.65,3.03,16.91,-19.51,0.07,5.68,9.98,,-0.083709
CGUS,3.0,2026-04-15,20.02,1.0,14.44,-18.27,0.33,0.79,10.84,5.4585,0.0
EZU,3.0,2026-04-15,13.79,2.92,17.06,-15.02,0.5,2.3,9.37,,-0.139648
CGGO,3.0,2026-04-15,16.69,2.11,16.23,-17.93,0.47,0.81,11.44,,0.0
PVAL,3.0,2026-04-15,20.13,0.98,13.74,-15.98,0.55,0.51,11.07,8.4962,0.16076
QLD,3.0,2026-04-15,43.9,0.19,39.25,-42.34,0.95,6.94,14.46,2.6204,-0.13378
FNDE,3.0,2026-04-15,14.93,4.04,17.1,-21.47,0.39,0.83,9.69,6.6578,-0.024287
AIRR,3.0,2026-04-15,38.74,0.16,25.43,-28.08,0.69,0.36,10.62,1.1659,0.237505
CIBR,3.0,2026-04-15,14.16,0.65,21.65,-22.34,0.58,0.77,13.68,0.9347,0.154398
ONEQ,3.0,2026-04-15,25.08,0.83,19.91,-24.36,0.21,0.29,10.92,2.7128,0.15542
BBEU,3.0,2026-04-15,12.18,3.0,15.13,-14.49,0.09,0.75,9.14,,-0.133196
PRF,3.0,2026-04-15,16.24,1.56,13.32,-16.62,0.34,0.39,9.58,8.2237,0.245363
VPU,3.0,2026-04-15,10.15,2.57,16.02,-19.99,0.09,0.22,8.56,0.8,0.029692
FDVV,3.0,2026-04-15,14.11,3.0,12.88,-17.16,0.15,0.53,9.77,6.2775,0.257276
MGC,3.0,2026-04-15,20.59,1.02,15.45,-19.52,0.05,0.11,10.24,4.002,-0.040151
IEUR,3.0,2026-04-15,11.83,3.01,15.55,-14.25,0.1,0.94,8.87,,-0.12883
SHLD,2.6,2026-04-15,53.13,0.51,20.86,-15.06,0.5,0.65,7.99,,0.140584
DBEF,3.0,2026-04-15,13.24,5.49,13.84,-14.62,0.35,0.63,8.81,,-0.121717
JGRO,3.0,2026-04-15,23.1,0.17,19.23,-22.7,0.44,0.32,10.06,3.6765,0.648345
VIGI,3.0,2026-04-15,7.08,2.27,13.29,-15.3,0.07,0.29,8.82,,0.004126
SPYI,3.0,2026-04-15,2.44,12.5,13.02,-18.53,0.68,1.26,10.08,5.4735,0.109724
GRID,3.0,2026-04-15,23.14,0.92,19.14,-20.9,0.56,0.19,11.29,,0.059603
DFAE,3.0,2026-04-15,16.71,2.18,16.71,-18.76,0.29,0.8,9.62,,0.918204
RWL,3.0,2026-04-15,15.96,1.38,12.46,-14.72,0.39,0.17,9.07,7.9365,0.288894
IGM,3.0,2026-04-15,33.52,0.18,23.33,-26.42,0.39,0.4,11.03,1.1136,0.027068
