ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
FXI,3.0,2026-04-15,7.8,2.59,28.53,-30.51,0.73,39.49,5.92,-0.038474,2026-05-22
ARKK,3.0,2026-04-15,24.47,0.0,39.39,-39.56,0.75,11.74,5.98,-0.105091,2026-05-22
SSO,3.0,2026-04-15,32.33,0.82,29.72,-35.34,0.87,5.89,5.41,-0.136507,2026-05-22
VCR,3.0,2026-04-15,15.58,0.8,21.14,-27.64,0.09,0.06,6.16,0.158297,2026-05-22
DLN,3.0,2026-04-15,13.72,1.91,11.73,-14.01,0.28,0.16,5.65,0.349961,2026-05-22
DIHP,3.0,2026-04-15,11.6,2.17,14.17,-12.96,0.27,0.48,5.39,0.275601,2026-05-22
VOX,3.0,2026-04-15,25.83,1.05,18.19,-21.34,0.09,0.19,5.78,0.197914,2026-05-22
DFLV,3.0,2026-04-15,14.13,1.55,14.12,-17.54,0.21,0.54,5.37,0.245863,2026-05-22
GSIE,3.0,2026-04-15,13.34,2.72,14.61,-13.38,0.25,0.42,5.19,-0.105759,2026-05-22
DFIS,3.0,2026-04-15,15.68,2.22,15.11,-14.01,0.39,0.41,5.17,0.0,2026-05-22
EFAV,3.0,2026-04-15,10.48,3.03,11.1,-10.94,0.2,0.47,5.34,-0.099544,2026-05-22
SCHC,3.0,2026-04-15,13.57,3.65,15.88,-16.62,0.08,0.43,4.99,-0.116772,2026-05-22
SPXL,3.0,2026-04-15,44.13,0.8,44.27,-49.21,0.84,5.68,4.65,-0.136092,2026-05-22
CGXU,3.0,2026-04-15,11.01,5.37,18.09,-21.92,0.54,0.62,4.93,0.0,2026-05-22
KBWB,3.0,2026-04-15,25.91,2.27,24.58,-25.91,0.35,1.52,4.83,0.21314,2026-05-22
XMHQ,3.0,2026-04-15,13.46,0.6,18.89,-25.33,0.25,0.3,5.03,-0.017043,2026-05-22
RECS,3.0,2026-04-15,19.18,0.83,14.78,-19.28,0.15,0.41,4.89,0.142971,2026-05-22
JHMM,3.0,2026-04-15,13.95,0.95,16.46,-22.35,0.41,0.22,4.89,-0.006179,2026-05-22
SCHK,3.0,2026-04-15,18.95,1.17,15.22,-19.44,0.03,0.77,4.74,0.072731,2026-05-22
EWC,3.0,2026-04-15,17.69,1.42,15.45,-14.12,0.5,2.11,4.68,0.015652,2026-05-22
GNR,3.0,2026-04-15,8.66,2.31,17.95,-24.49,0.4,0.3,4.94,-0.054771,2026-05-22
DSI,3.0,2026-04-15,18.51,1.0,15.98,-20.82,0.25,0.13,4.62,0.072797,2026-05-22
XME,3.0,2026-04-15,30.01,0.35,29.1,-30.63,0.35,2.44,4.38,0.236622,2026-05-22
ILF,3.0,2026-04-15,15.09,3.78,21.21,-29.71,0.47,1.69,4.24,0.289772,2026-05-22
LVHI,3.0,2026-04-15,14.49,3.78,11.36,-11.99,0.4,0.39,4.59,0.081713,2026-05-22
NLR,3.0,2026-04-15,36.45,2.4,33.36,-30.81,0.56,0.25,4.57,0.191589,2026-05-22
CGDG,2.5,2026-04-15,17.34,1.95,12.21,-10.91,0.47,0.41,4.55,0.04444,2026-05-22
BKLC,3.0,2026-04-15,20.17,1.11,15.14,-19.3,,0.14,4.42,0.049265,2026-05-22
FDN,3.0,2026-04-15,20.53,0.0,21.86,-24.98,0.49,0.51,4.54,0.053051,2026-05-22
REET,3.0,2026-04-15,5.35,3.65,15.66,-20.54,0.14,0.96,4.43,-0.082016,2026-05-22
DISV,3.0,2026-04-15,19.68,2.6,15.54,-14.24,0.42,0.31,4.35,0.431177,2026-05-22
FEZ,3.0,2026-04-15,13.61,2.85,17.77,-16.07,0.29,1.64,4.33,-0.135248,2026-05-22
UPRO,3.0,2026-04-15,43.94,1.04,44.43,-49.09,0.89,5.53,3.97,-0.135625,2026-05-22
OMFL,3.0,2026-04-15,10.42,0.86,14.89,-15.7,0.29,0.47,4.18,0.054048,2026-05-22
RSPT,3.0,2026-04-15,22.1,0.38,22.5,-26.71,0.4,0.49,3.83,0.040146,2026-05-22
IYR,3.0,2026-04-15,5.81,2.38,16.99,-18.46,0.38,6.28,3.97,-0.053731,2026-05-22
KRE,3.0,2026-04-15,16.84,2.42,30.16,-29.16,0.35,16.12,3.71,-0.097917,2026-05-22
SLYG,3.0,2026-04-15,12.72,0.8,20.11,-27.87,0.15,0.15,3.98,0.22758,2026-05-22
SLYV,3.0,2026-04-15,9.7,2.01,21.61,-29.55,0.15,0.23,4.06,0.266261,2026-05-22
VTHR,3.0,2026-04-15,18.52,1.16,15.34,-19.6,0.06,0.03,5.17,0.344252,2026-05-22
EMLP,3.0,2026-04-15,17.04,2.75,13.05,-12.17,0.95,0.24,4.0,0.119192,2026-05-22
TSLL,3.0,2026-04-15,1.93,7.98,110.21,-83.09,0.83,74.6,4.45,-0.290649,2026-05-22
IVLU,3.0,2026-04-15,18.25,3.56,15.68,-15.48,0.31,0.53,3.79,-0.035279,2026-05-22
HELO,2.5,2026-04-15,12.04,0.66,8.14,-11.02,0.5,0.28,3.76,0.084847,2026-05-22
IFRA,3.0,2026-04-15,16.97,1.7,16.47,-20.77,0.3,0.28,3.7,0.137682,2026-05-22
NVDL,3.0,2026-04-15,131.65,0.0,92.29,-67.55,1.05,13.55,3.73,0.156593,2026-05-22
MAGS,3.0,2026-04-15,36.88,1.69,26.31,-30.46,0.29,1.5,3.5,-0.142343,2026-05-22
IMTM,3.0,2026-04-15,16.62,2.3,16.79,-12.85,0.3,0.36,3.56,-0.068737,2026-05-22
DON,3.0,2026-04-15,9.91,2.41,16.4,-22.09,0.38,0.15,3.72,0.01598,2026-05-22
TECL,3.0,2026-04-15,49.46,9.64,69.31,-66.7,0.87,1.93,2.98,0.262287,2026-05-22
TDIV,3.0,2026-04-15,23.37,1.5,19.88,-23.28,0.5,0.11,3.54,0.197663,2026-05-22
DEM,3.0,2026-04-15,10.22,4.32,14.86,-17.36,0.63,0.3,3.47,0.276621,2026-05-22
IXJ,3.0,2026-04-15,3.14,1.45,13.53,-18.72,0.4,0.19,3.62,-0.022001,2026-05-22
EUFN,3.0,2026-04-15,25.48,3.81,19.0,-15.95,0.49,0.97,3.42,-0.177957,2026-05-22
QTUM,3.0,2026-04-15,39.37,1.1,26.29,-25.6,0.4,0.22,3.25,0.137446,2026-05-22
USRT,3.0,2026-04-15,7.99,2.89,17.25,-19.74,0.08,0.3,3.47,-0.053954,2026-05-22
IWX,3.0,2026-04-15,13.45,1.66,12.3,-13.98,0.2,0.19,3.41,0.346543,2026-05-22
AIA,3.0,2026-04-15,24.79,1.46,23.9,-21.64,0.5,0.13,3.34,0.144031,2026-05-22
SUSA,3.0,2026-04-15,17.0,0.97,15.06,-19.73,0.25,0.17,3.47,0.376262,2026-05-22
XT,3.0,2026-04-15,11.64,8.13,19.33,-22.09,0.46,0.12,3.43,0.012351,2026-05-22
VIOO,3.0,2026-04-15,11.64,1.31,20.72,-28.98,0.07,0.12,5.22,0.057685,2026-05-22
VNQI,3.0,2026-04-15,4.3,4.87,15.15,-20.53,0.12,0.28,3.68,0.082488,2026-05-22
IDMO,3.0,2026-04-15,21.75,2.06,16.88,-12.67,0.25,0.18,3.2,-0.06817,2026-05-22
AAXJ,3.0,2026-04-15,15.75,1.76,18.56,-20.89,0.72,0.62,3.34,0.088235,2026-05-22
EWU,3.0,2026-04-15,12.87,3.64,14.59,-12.63,0.5,1.8,3.32,-0.212169,2026-05-22
SMLF,3.0,2026-04-15,16.31,1.17,19.97,-26.8,0.15,0.13,3.28,0.249427,2026-05-22
XOP,3.0,2026-04-15,7.42,1.79,27.68,-36.54,0.35,3.66,3.55,-0.129011,2026-05-22
FLJP,3.0,2026-04-15,14.09,5.07,18.58,-15.63,0.09,0.7,2.9,-0.085129,2026-05-22
DFGR,3.0,2026-04-15,4.67,4.23,15.35,-19.87,0.22,0.35,3.19,-0.280516,2026-05-22
FV,3.0,2026-04-15,12.89,0.64,19.3,-23.16,0.89,0.14,3.24,-0.224751,2026-05-22
IYF,3.0,2026-04-15,19.13,1.62,17.1,-16.87,0.38,0.28,3.3,0.093166,2026-05-22
GCOW,3.0,2026-04-15,9.99,4.42,12.7,-12.35,0.6,0.29,3.27,0.103645,2026-05-22
IMCG,3.0,2026-04-15,14.43,0.8,17.25,-22.21,0.06,0.14,3.1,-0.013262,2026-05-22
EEMV,3.0,2026-04-15,7.59,2.65,11.24,-14.5,0.25,0.4,3.14,0.0,2026-05-22
IVOO,3.0,2026-04-15,12.79,1.33,18.16,-24.77,0.07,0.08,4.95,-0.128538,2026-05-22
JTEK,2.5,2026-04-15,25.16,0.0,27.47,-30.61,0.65,0.17,3.08,0.166494,2026-05-22
INTF,3.0,2026-04-15,15.45,2.78,15.26,-13.64,0.16,0.19,3.16,-0.062765,2026-05-22
SPHD,3.0,2026-04-15,4.97,4.31,13.03,-14.26,0.3,0.7,3.29,0.186328,2026-05-22
ACWV,3.0,2026-04-15,6.94,2.08,9.29,-7.56,0.2,0.19,3.31,0.090567,2026-05-22
FNDC,3.0,2026-04-15,13.92,3.78,14.73,-14.36,0.39,0.2,3.05,-0.054053,2026-05-22
CALF,3.0,2026-04-15,6.69,1.43,21.09,-34.91,0.59,1.45,3.25,0.395756,2026-05-22
MLPX,3.0,2026-04-15,20.51,4.06,17.0,-17.68,0.45,0.28,3.29,0.119442,2026-05-22
IHI,3.0,2026-04-15,-0.65,0.42,16.62,-23.03,0.38,1.08,3.17,-0.003955,2026-05-22
BOTZ,3.0,2026-04-15,13.66,0.73,24.14,-29.02,0.68,0.85,2.94,0.138136,2026-05-22
VAW,3.0,2026-04-15,9.84,1.41,17.65,-23.88,0.09,0.06,4.34,-0.096045,2026-05-22
PTLC,3.0,2026-04-15,12.25,1.13,12.21,-15.17,0.6,0.2,3.03,-0.002709,2026-05-22
XYLD,3.0,2026-04-15,-0.62,10.98,10.77,-17.96,0.6,0.64,3.02,0.14536,2026-05-22
NFRA,3.0,2026-04-15,7.08,5.74,11.93,-12.13,0.47,0.09,2.95,0.015793,2026-05-22
USMC,3.0,2026-04-15,19.6,0.84,14.9,-19.31,0.12,0.1,2.89,-0.135049,2026-05-22
LRGF,3.0,2026-04-15,18.91,1.23,15.33,-19.67,0.08,0.15,2.93,0.389757,2026-05-22
USCA,3.0,2026-04-15,18.09,1.24,15.02,-19.36,0.07,0.05,2.67,0.0,2026-05-22
IYH,3.0,2026-04-15,3.43,1.31,13.96,-18.7,0.38,0.41,2.89,0.145234,2026-05-22
GSUS,3.0,2026-04-15,19.43,1.14,15.02,-19.31,0.07,0.11,2.74,-0.062339,2026-05-22
FRDM,3.0,2026-04-15,27.66,2.09,20.42,-17.22,0.49,0.17,2.54,0.052676,2026-05-22
FHLC,3.0,2026-04-15,4.03,1.44,13.84,-17.78,0.084,0.15,2.81,-0.070112,2026-05-22
DCOR,2.6,2026-04-15,18.17,1.04,15.4,-19.58,0.14,0.1,2.64,0.0,2026-05-22
SMMD,3.0,2026-04-15,14.71,1.22,19.31,-26.01,0.15,0.14,2.59,0.26349,2026-05-22
ILCG,3.0,2026-04-15,24.0,0.5,19.46,-23.2,0.04,0.08,2.53,0.0,2026-05-22
IXC,3.0,2026-04-15,10.82,2.68,19.58,-22.5,0.4,0.64,2.85,-0.037214,2026-05-22
REMX,3.0,2026-04-15,6.01,1.48,38.7,-63.05,0.58,0.4,2.59,0.162497,2026-05-22
PXF,3.0,2026-04-15,18.1,3.48,14.88,-14.8,0.43,0.08,2.59,0.018085,2026-05-22
QTEC,3.0,2026-04-15,23.45,0.0,25.87,-29.01,0.55,0.17,2.63,0.106233,2026-05-22
PRFZ,3.0,2026-04-15,14.41,0.95,20.52,-27.01,0.34,0.14,2.61,0.234248,2026-05-22
IYY,3.0,2026-04-15,18.88,1.01,15.12,-19.27,0.2,0.04,2.58,-0.14001,2026-05-22
SQQQ,3.0,2026-04-15,-56.69,5.78,58.77,-92.41,0.95,16.06,2.56,-0.219426,2026-05-22
NUGO,3.0,2026-04-15,25.6,0.0,21.08,-25.12,0.56,0.11,2.49,0.366652,2026-05-22
WTV,3.0,2026-04-15,17.95,1.79,15.46,-19.12,0.12,0.08,2.6,0.336864,2026-05-22
MDYG,3.0,2026-04-15,14.46,0.7,18.66,-25.77,0.15,0.14,2.48,-0.017944,2026-05-22
CQQQ,3.0,2026-04-15,2.99,2.47,34.23,-37.57,0.65,0.55,2.49,0.01648,2026-05-22
AVSC,3.0,2026-04-15,14.81,1.02,21.73,-28.84,0.25,0.1,2.42,0.885101,2026-05-22
JMEE,3.0,2026-04-15,14.14,1.09,18.25,-26.1,0.24,0.1,2.38,0.0,2026-05-22
KOMP,3.0,2026-04-15,15.07,1.8,22.87,-25.38,0.2,0.11,2.35,0.051845,2026-05-22
FLIN,3.0,2026-04-15,8.15,0.67,14.44,-23.76,0.19,0.38,2.46,0.147563,2026-05-22
FUTY,3.0,2026-04-15,10.32,2.5,16.03,-19.87,0.084,0.25,2.44,0.01655,2026-05-22
ITB,3.0,2026-04-15,10.45,1.25,27.52,-33.88,0.38,2.46,2.39,-0.142204,2026-05-22
XSMO,3.0,2026-04-15,21.91,0.61,20.96,-25.19,0.36,0.21,2.28,0.294846,2026-05-22
MDYV,3.0,2026-04-15,10.84,1.87,18.19,-23.29,0.15,0.19,2.41,-0.015766,2026-05-22
IPAC,3.0,2026-04-15,12.66,4.14,16.93,-17.18,0.09,0.12,2.37,0.109613,2026-05-22
SNPE,3.0,2026-04-15,19.19,1.05,15.17,-19.64,0.1,0.25,2.29,0.210344,2026-05-22
NULG,3.0,2026-04-15,21.57,0.12,19.04,-22.4,0.26,0.07,2.31,-0.084132,2026-05-22
SECT,3.0,2026-04-15,16.76,0.71,16.74,-21.74,0.69,0.1,2.3,0.146525,2026-05-22
DIVI,3.0,2026-04-15,13.19,3.9,15.0,-14.7,0.09,0.18,2.26,-0.040302,2026-05-22
ARTY,3.0,2026-04-15,22.83,0.0,27.25,-32.44,0.47,0.26,2.08,0.147471,2026-05-22
EQWL,3.0,2026-04-15,14.98,1.71,13.11,-15.39,0.25,0.07,2.29,0.070661,2026-05-22
TSPA,3.0,2026-04-15,20.96,0.65,15.0,-19.04,0.34,0.14,2.09,0.449369,2026-05-22
USCL,2.8,2026-04-15,17.18,1.23,15.09,-19.23,0.08,0.07,2.1,0.0,2026-05-22
HDEF,3.0,2026-04-15,11.93,3.66,13.5,-11.42,0.09,0.2,2.23,0.015043,2026-05-22
APUE,2.9,2026-04-15,20.59,0.87,14.83,-19.07,0.31,0.15,2.16,0.0,2026-05-22
FSMD,3.0,2026-04-15,14.24,1.37,17.49,-22.7,0.15,0.15,2.14,-0.014835,2026-05-22
ESML,3.0,2026-04-15,14.01,1.08,19.79,-27.17,0.17,0.15,2.14,0.247735,2026-05-22
URNM,3.0,2026-04-15,30.15,2.81,43.15,-52.13,0.75,0.66,2.14,0.355283,2026-05-22
IHDG,3.0,2026-04-15,8.3,1.97,13.91,-18.88,0.58,0.28,2.14,-0.007131,2026-05-22
EPI,3.0,2026-04-15,10.51,0.0,15.4,-22.1,0.84,0.89,2.09,0.044227,2026-05-22
ICLN,3.0,2026-04-15,-0.3,1.47,24.87,-46.93,0.39,3.29,2.16,0.095317,2026-05-22
FNCL,3.0,2026-04-15,16.91,1.75,17.19,-17.65,0.084,0.12,2.18,0.095779,2026-05-22
SCHY,3.0,2026-04-15,10.81,3.53,12.5,-13.64,0.08,0.28,2.12,0.01018,2026-05-22
SPUS,3.0,2026-04-15,21.19,0.63,17.54,-22.97,0.45,0.27,2.04,-0.135308,2026-05-22
SKYY,3.0,2026-04-15,18.58,0.0,25.84,-31.8,0.6,0.2,2.35,0.094955,2026-05-22
EWW,3.0,2026-04-15,9.36,3.21,23.82,-33.84,0.5,2.16,2.13,0.121013,2026-05-22
ACIO,3.0,2026-04-15,13.3,0.42,9.99,-12.24,0.79,0.13,2.11,0.882314,2026-05-22
PABU,3.0,2026-04-15,16.32,1.04,16.21,-21.24,0.1,0.07,2.25,0.546681,2026-05-22
SPGP,3.0,2026-04-15,10.26,0.98,17.52,-23.52,0.36,0.24,2.09,0.222902,2026-05-22
BSVO,3.0,2026-04-15,15.15,1.4,22.04,-29.8,0.45,0.19,2.05,0.949963,2026-05-22
EPP,3.0,2026-04-15,8.31,3.59,17.16,-20.99,0.47,0.36,2.04,0.125867,2026-05-22
QGRW,3.0,2026-04-15,27.82,0.09,21.19,-24.5,0.28,0.16,2.09,0.19199,2026-05-22
MLPA,3.0,2026-04-15,7.57,7.14,14.48,-14.93,0.77,0.16,2.17,0.113406,2026-05-22
QGRO,3.0,2026-04-15,20.6,0.21,18.22,-23.89,0.29,0.08,2.02,0.020624,2026-05-22
JIVE,2.6,2026-04-15,27.71,2.14,15.07,-13.79,0.55,0.06,1.93,0.0,2026-05-22
GUSA,3.0,2026-04-15,18.91,1.11,14.93,-19.85,0.1,0.0,2.04,0.0,2026-05-22
BGIG,2.6,2026-04-15,13.53,1.85,12.11,-14.11,0.45,0.02,2.04,0.0,2026-05-22
FTHI,3.0,2026-04-15,5.14,8.99,11.87,-18.15,0.76,0.32,2.04,0.050585,2026-05-22
FWD,3.0,2026-04-15,33.84,0.11,24.93,-29.02,0.65,0.07,1.84,-0.187187,2026-05-22
OIH,3.0,2026-04-15,12.09,1.2,31.25,-45.7,0.35,0.51,2.34,0.014521,2026-05-22
COWG,3.0,2026-04-15,19.76,0.35,19.54,-23.61,0.49,0.32,2.1,-0.009754,2026-05-22
FAS,3.0,2026-04-15,29.02,11.78,48.47,-43.26,0.88,0.75,1.94,0.151809,2026-05-22
JMOM,3.0,2026-04-15,22.72,0.88,16.44,-19.66,0.12,0.07,1.91,0.207163,2026-05-22
PHO,3.0,2026-04-15,10.26,0.58,16.34,-19.42,0.59,0.07,1.98,-0.0759,2026-05-22
ICF,3.0,2026-04-15,6.14,2.67,17.02,-18.97,0.32,0.13,1.95,-0.029916,2026-05-22
DES,3.0,2026-04-15,9.96,2.54,19.5,-25.66,0.38,0.14,1.94,0.291484,2026-05-22
QDF,3.0,2026-04-15,14.95,1.69,14.23,-18.79,0.39,0.04,1.97,0.253613,2026-05-22
CGIE,2.5,2026-04-15,15.88,1.2,15.35,-14.06,0.54,0.21,1.87,0.0,2026-05-22
BBMC,3.0,2026-04-15,15.71,1.25,18.71,-24.76,0.07,0.04,1.85,-0.018813,2026-05-22
FIDU,3.0,2026-04-15,21.27,1.04,17.11,-21.19,0.084,0.08,1.85,0.188617,2026-05-22
IWL,3.0,2026-04-15,20.51,0.96,15.35,-19.36,0.15,0.07,1.92,-0.233724,2026-05-22
IYJ,3.0,2026-04-15,16.49,0.83,16.28,-20.05,0.38,0.07,1.98,0.023786,2026-05-22
TCHP,3.0,2026-04-15,26.16,0.0,19.95,-22.92,0.57,0.12,1.83,-0.009382,2026-05-22
DFSU,3.0,2026-04-15,18.05,0.94,15.76,-20.33,0.15,0.1,1.86,0.0,2026-05-22
IYG,3.0,2026-04-15,19.07,1.18,18.06,-18.76,0.38,0.09,1.91,0.236065,2026-05-22
NULV,3.0,2026-04-15,11.35,1.62,12.89,-16.77,0.26,0.13,1.89,0.397502,2026-05-22
XSOE,3.0,2026-04-15,16.3,1.65,17.47,-20.29,0.32,0.29,1.76,0.042847,2026-05-22
ARKQ,3.0,2026-04-15,37.61,0.27,30.54,-30.76,0.75,0.15,1.83,0.060674,2026-05-22
EWP,3.0,2026-04-15,26.77,2.27,18.87,-13.93,0.5,0.44,1.81,-0.119594,2026-05-22
TILT,3.0,2026-04-15,17.59,1.21,15.53,-20.34,0.25,0.01,1.86,0.362174,2026-05-22
PICK,3.0,2026-04-15,13.25,2.61,25.47,-34.45,0.39,0.34,1.76,0.291925,2026-05-22
PXH,3.0,2026-04-15,14.9,3.81,17.6,-18.97,0.47,0.24,1.82,0.220363,2026-05-22
TMFC,3.0,2026-04-15,26.23,0.16,17.61,-20.37,0.5,0.1,1.78,0.06411,2026-05-22
PSC,3.0,2026-04-15,15.24,0.67,20.08,-23.78,0.38,0.07,1.77,0.237957,2026-05-22
USD,3.0,2026-04-15,116.71,0.5,76.95,-64.53,0.95,1.27,1.48,-0.01065,2026-05-22
XSD,3.0,2026-04-15,25.84,0.25,37.17,-41.37,0.35,0.06,1.62,0.178439,2026-05-22
FIW,3.0,2026-04-15,9.66,0.8,16.5,-18.62,0.51,0.04,1.78,0.105105,2026-05-22
FLQL,3.0,2026-04-15,20.45,1.16,15.41,-19.51,0.15,0.07,1.65,0.068941,2026-05-22
DSTL,3.0,2026-04-15,10.81,1.29,13.63,-17.58,0.39,0.12,1.8,0.024132,2026-05-22
HEDJ,3.0,2026-04-15,9.87,1.67,15.74,-15.93,0.58,0.12,1.7,-0.142357,2026-05-22
JPEF,2.7,2026-04-15,16.85,0.73,15.22,-18.1,0.44,0.09,1.71,0.0,2026-05-22
LIT,3.0,2026-04-15,8.37,0.43,31.04,-53.78,0.75,0.38,1.7,0.141782,2026-05-22
FTXL,3.0,2026-04-15,43.28,0.23,35.52,-41.77,0.6,0.11,1.48,0.213046,2026-05-22
RWR,3.0,2026-04-15,6.81,3.69,17.23,-20.51,0.25,0.29,1.7,-0.085705,2026-05-22
DGS,3.0,2026-04-15,11.28,3.58,14.67,-20.29,0.58,0.2,1.64,0.569639,2026-05-22
REGL,3.0,2026-04-15,8.67,2.26,15.41,-18.11,0.4,0.06,1.66,-0.002828,2026-05-22
HACK,3.0,2026-04-15,15.29,0.08,22.34,-21.9,0.6,0.11,1.88,0.068061,2026-05-22
FLTW,3.0,2026-04-15,27.98,2.34,22.91,-27.52,0.19,0.1,1.44,-0.006652,2026-05-22
ICOW,3.0,2026-04-15,13.07,2.29,15.21,-15.89,0.65,0.24,1.64,-0.112193,2026-05-22
IEV,3.0,2026-04-15,12.2,2.76,15.38,-14.63,0.6,0.32,1.63,-0.141392,2026-05-22
TMSL,2.8,2026-04-15,17.4,0.56,18.48,-24.72,0.55,0.12,1.55,-0.968955,2026-05-22
USPX,3.0,2026-04-15,19.09,1.2,15.34,-19.4,0.03,0.07,1.53,0.106385,2026-05-22
FDIS,3.0,2026-04-15,15.71,0.79,21.03,-27.73,0.084,0.09,1.64,0.182591,2026-05-22
IDU,3.0,2026-04-15,11.25,2.13,15.32,-18.33,0.38,0.12,1.65,0.019441,2026-05-22
IYT,3.0,2026-04-15,11.74,1.07,21.34,-26.76,0.38,0.54,0.91,-0.044757,2026-05-22
PWB,3.0,2026-04-15,29.28,0.0,18.93,-22.1,0.55,0.03,1.56,0.078302,2026-05-22
RPV,3.0,2026-04-15,12.3,2.41,15.93,-16.01,0.35,0.23,1.65,0.232677,2026-05-22
RWJ,3.0,2026-04-15,13.03,1.13,22.72,-29.68,0.39,0.15,1.64,0.297785,2026-05-22
FCOM,3.0,2026-04-15,25.82,1.0,18.23,-21.35,0.084,0.12,1.61,0.248243,2026-05-22
FLQM,3.0,2026-04-15,9.1,1.56,14.76,-20.22,0.3,0.12,1.67,-0.014463,2026-05-22
DFEV,3.0,2026-04-15,17.13,2.56,15.73,-18.78,0.43,0.14,1.49,0.026461,2026-05-22
GSEW,3.0,2026-04-15,13.71,1.56,14.49,-18.85,0.09,0.06,1.59,-0.173938,2026-05-22
XCEM,3.0,2026-04-15,18.55,3.18,16.95,-21.04,0.16,0.19,1.47,0.0,2026-05-22
DFAR,3.0,2026-04-15,5.57,2.98,16.87,-19.36,0.19,0.41,1.56,0.0,2026-05-22
EMGF,3.0,2026-04-15,16.9,2.44,17.44,-19.65,0.26,0.1,1.49,-0.021787,2026-05-22
ROBO,3.0,2026-04-15,12.32,0.43,21.85,-27.92,0.95,0.09,1.48,0.143885,2026-05-22
VIOV,3.0,2026-04-15,10.2,1.76,21.63,-29.04,0.1,0.06,1.66,0.208446,2026-05-22
PKW,3.0,2026-04-15,17.17,0.94,15.61,-21.27,0.62,0.05,1.56,0.07904,2026-05-22
RPG,3.0,2026-04-15,19.53,0.22,21.19,-24.81,0.35,0.31,1.5,0.226657,2026-05-22
IYE,3.0,2026-04-15,9.38,2.05,21.27,-21.45,0.38,0.65,1.69,-0.032915,2026-05-22
XNTK,3.0,2026-04-15,34.91,0.25,25.11,-28.14,0.35,0.02,1.45,0.038921,2026-05-22
QQEW,3.0,2026-04-15,9.93,0.35,17.91,-21.52,0.55,0.09,1.57,0.059203,2026-05-22
JEMA,3.0,2026-04-15,16.4,2.78,18.31,-20.03,0.33,0.09,1.38,0.027693,2026-05-22
ARKW,3.0,2026-04-15,36.61,1.95,35.35,-37.18,0.76,0.24,1.51,0.056216,2026-05-22
DTD,3.0,2026-04-15,13.35,1.98,12.18,-15.0,0.28,0.03,1.49,0.19875,2026-05-22
EWL,3.0,2026-04-15,9.56,1.74,14.64,-14.79,0.5,0.54,1.49,-0.152458,2026-05-22
MISL,3.0,2026-04-15,28.42,0.37,18.97,-18.37,0.6,0.11,1.44,0.029524,2026-05-22
PSI,3.0,2026-04-15,43.44,0.08,37.63,-41.11,0.56,0.08,1.27,0.204031,2026-05-22
EUSA,3.0,2026-04-15,12.06,1.68,14.59,-18.81,0.09,0.06,1.5,0.13271,2026-05-22
IAI,3.0,2026-04-15,23.83,1.18,20.22,-23.39,0.38,0.12,1.54,0.139503,2026-05-22
IMCB,3.0,2026-04-15,13.4,1.38,15.31,-20.4,0.04,0.03,1.44,-0.012017,2026-05-22
SPGM,3.0,2026-04-15,17.15,1.93,14.42,-16.9,0.09,0.09,1.42,0.0966,2026-05-22
XHB,3.0,2026-04-15,16.11,0.79,26.1,-30.87,0.35,2.58,1.45,-0.117197,2026-05-22
ASHR,3.0,2026-04-15,4.71,2.36,24.04,-33.86,0.65,6.45,1.46,-0.028652,2026-05-22
HFXI,3.0,2026-04-15,15.16,4.44,14.0,-13.52,0.2,0.15,1.38,-0.133809,2026-05-22
INFL,3.0,2026-04-15,18.57,0.91,16.54,-16.38,0.85,0.16,1.47,0.118147,2026-05-22
IVOG,3.0,2026-04-15,14.55,0.62,18.81,-26.18,0.1,0.02,1.58,-0.022325,2026-05-22
USVM,3.0,2026-04-15,16.06,1.91,18.28,-24.77,0.29,0.04,1.42,-0.140419,2026-05-22
TAN,3.0,2026-04-15,-11.08,0.0,37.98,-66.8,0.7,1.02,1.48,0.138885,2026-05-22
IYM,3.0,2026-04-15,11.62,1.32,18.14,-24.2,0.38,0.06,1.25,0.032574,2026-05-22
RODM,3.0,2026-04-15,15.32,2.96,12.26,-10.59,0.29,0.13,1.41,-0.111466,2026-05-22
VFMO,3.0,2026-04-15,24.38,0.75,21.49,-24.74,0.13,0.03,1.34,-0.001247,2026-05-22
BAI,,2026-04-16,,,,,,,,0.061018,2026-05-22
QQQI,,2026-04-16,,,,,,,,0.10023,2026-05-22
FENI,,2026-04-16,,,,,,,,0.79994,2026-05-22
FNGU,,2026-04-16,,,,,,,,-0.299191,2026-05-22
FELC,,2026-04-16,,,,,,,,0.3991,2026-05-22
AKRE,,2026-04-16,,,,,,,,-0.239094,2026-05-22
FMDE,,2026-04-16,,,,,,,,0.528436,2026-05-22
FELG,,2026-04-16,,,,,,,,0.21892,2026-05-22
BLCR,,2026-04-16,,,,,,,,0.885637,2026-05-22
FESM,,2026-04-16,,,,,,,,0.492047,2026-05-22
GRNY,,2026-04-16,,,,,,,,0.359506,2026-05-22
EAGL,,2026-04-16,,,,,,,,0.142009,2026-05-22
QLTY,,2026-04-16,,,,,,,,0.031181,2026-05-22
MSLC,,2026-04-16,,,,,,,,0.0,2026-05-22
IDEF,,2026-04-16,,,,,,,,0.438488,2026-05-22
GPIX,,2026-04-16,,,,,,,,0.0159,2026-05-22
