ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
XLY,3.0,2026-04-14,15.87,0.82,20.72,-26.35,0.08,9.17,21.45,-0.344439,2026-05-22
AVEM,3.0,2026-04-14,17.55,2.45,17.47,-19.75,0.33,0.71,19.94,0.076748,2026-05-22
VOE,3.0,2026-04-14,12.49,1.99,14.08,-19.47,0.05,0.33,34.67,0.002582,2026-05-22
VBK,3.0,2026-04-14,14.48,0.52,20.99,-27.76,0.05,0.25,38.69,0.172818,2026-05-22
RDVY,3.0,2026-04-14,17.13,1.03,17.0,-19.84,0.47,0.94,19.85,0.064969,2026-05-22
SCHA,3.0,2026-04-14,14.75,1.17,20.47,-27.9,0.04,2.58,19.8,0.236204,2026-05-22
SDY,3.0,2026-04-14,6.2,2.53,12.4,-15.57,0.35,0.32,20.67,-0.049198,2026-05-22
CGGR,3.0,2026-04-14,23.84,0.11,19.06,-23.37,0.39,1.98,19.47,0.241425,2026-05-22
EMXC,3.0,2026-04-14,19.64,2.64,16.98,-20.5,0.25,2.11,17.54,0.02134,2026-05-22
EWJ,3.0,2026-04-14,14.88,4.33,19.0,-15.99,0.49,6.51,18.33,-0.061503,2026-05-22
DFIV,3.0,2026-04-14,18.57,2.73,14.78,-15.02,0.27,0.92,18.02,0.266003,2026-05-22
IYW,3.0,2026-04-14,29.3,0.15,23.39,-26.51,0.38,0.92,17.69,0.023786,2026-05-22
IWP,3.0,2026-04-14,13.82,0.36,19.35,-25.26,0.23,0.89,18.66,-0.125199,2026-05-22
VYMI,3.0,2026-04-14,15.78,3.64,14.05,-13.53,0.07,0.63,18.79,0.106356,2026-05-22
DFUS,3.0,2026-04-14,18.85,0.97,15.28,-19.61,0.09,0.41,17.96,0.0,2026-05-22
AVDV,3.0,2026-04-14,21.2,3.0,16.15,-14.17,0.36,0.52,17.26,0.112611,2026-05-22
OEF,3.0,2026-04-14,21.26,0.98,15.95,-19.97,0.2,0.45,17.84,-0.034042,2026-05-22
EWY,3.0,2026-04-14,30.87,1.69,28.77,-29.06,0.59,5.28,15.74,0.104535,2026-05-22
IWV,3.0,2026-04-14,18.35,0.99,15.24,-19.48,0.2,0.19,17.05,0.182591,2026-05-22
COWZ,3.0,2026-04-14,9.09,2.06,15.35,-22.64,0.49,2.04,18.17,0.338661,2026-05-22
VONV,3.0,2026-04-14,13.27,1.82,13.13,-16.54,0.06,0.68,18.28,0.220686,2026-05-22
SPYG,3.0,2026-04-15,24.7,0.58,18.91,-22.25,0.04,2.67,41.63,-0.124666,2026-05-22
VOT,3.0,2026-04-15,12.61,0.72,17.8,-21.91,0.05,0.19,29.25,0.015431,2026-05-22
SPEM,3.0,2026-04-15,13.4,2.84,15.97,-18.92,0.07,1.94,15.67,0.053185,2026-05-22
SPHQ,3.0,2026-04-15,18.7,1.19,14.16,-16.82,0.15,1.12,15.73,0.253952,2026-05-22
SPMD,3.0,2026-04-15,12.71,1.37,18.06,-24.63,0.03,1.47,15.63,-0.122753,2026-05-22
VHT,3.0,2026-04-15,3.96,1.72,13.84,-17.84,0.09,0.23,18.59,0.007985,2026-05-22
FTEC,3.0,2026-04-15,26.91,0.46,23.53,-27.48,0.084,0.3,15.05,-0.030254,2026-05-22
DGRW,3.0,2026-04-15,13.54,1.43,12.75,-16.79,0.28,0.68,15.37,0.098832,2026-05-22
BBJP,3.0,2026-04-15,14.67,5.13,18.94,-16.84,0.19,1.53,15.01,-0.231063,2026-05-22
DFAI,3.0,2026-04-15,14.7,2.45,14.36,-13.52,0.18,1.1,14.55,-0.026348,2026-05-22
