ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment
HDV,0.11636749618842274,0.16194081211286998,0.3264691714836223,0.6932279909706547,0.40218663824903145,0.5911071379452619,0.7175800392363952
DFAS,0.49949379368456703,0.3849277357192018,0.4240125240847784,0.3072234762979684,0.39743635594842114,0.8564035208361984,0.8672529324690746
SPMO,0.39294934516368185,0.22388162422573993,0.8678949903660886,0.28487584650112874,0.49168719726783766,0.36356347132443945,0.20554672387044876
DFAT,0.513427941082303,0.4097040605643497,0.44665221579961456,0.4169300225733634,0.378299417621117,0.7678888736074816,1.0
IWN,0.5311254551748543,0.3601514108740538,0.4533959537572254,0.43115124153498874,0.46713219672380224,0.8390248934121853,0.18533259274865455
IWO,0.5826541031132044,0.3601514108740538,0.47531310211946054,0.19751693002257337,0.4038818006647502,0.6733214138357859,0.1792928145957201
IQLT,0.22712608147307323,0.43448038540949774,0.3828275529865125,0.5652370203160272,0.4927029901515316,,0.2907882028144042
PAVE,0.5080869118145347,0.6450791465932555,0.7395231213872833,0.2747178329571106,0.4639299746940348,0.20267501031494978,0.6035121225138655
VFH,0.3200904661650291,0.17432897453544394,0.51866570327553,0.42708803611738155,0.39176928430413793,0.10356484665107962,0.810210765656936
SPTM,0.3028415066318715,0.1,0.5596098265895953,0.3437923250564334,0.41005002615975306,0.6920987484527574,0.6177718433718127
AMLP,0.26262789365495526,1.0,0.34308766859344897,1.0,0.47445724463027883,0.10472837298858478,0.48150170872585696
SCHE,0.33520168468534584,0.14955264969029597,0.4194364161849711,0.6972911963882619,0.4802599783623112,0.8105184981433089,0.44712964153695045
ESGV,0.3481737069653653,0.17432897453544394,0.5721339113680155,0.3051918735891648,0.36076835597010515,0.45293219639664417,0.4460329925002121
MOAT,0.36709977159423013,0.6326909841706816,0.3768063583815029,0.39458239277652374,0.422454812923565,0.6987209462247282,0.5330868973971002
MGV,0.17594922437782307,0.12477632484514799,0.4331647398843931,0.518510158013544,0.35421044279443953,0.8844890661532112,0.6323352769120902
AVUS,0.3298644805868916,0.24865794907088787,0.5588872832369942,0.31128668171557566,0.37187194644546245,0.8844890661532112,0.682154006955294
