ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity
SPMD,0.8342,0.4239104268989456,0.1,0.44657428025873647,0.3790224032586559,0.48906550579827535,0.777886550652409
FVD,0.8341,0.13779726817442078,0.7628571428571433,0.3318259211166895,0.5684317718940937,0.35330515811784874,0.7749661130659803
VT,0.8287,0.2502250169446832,0.1342857142857143,0.5766944187302294,0.4706720977596742,0.7105524680271249,0.7410668565247751
IWX,0.8282,0.17243850758677876,0.2942857142857145,0.5174714044306554,0.43808553971486763,0.1967502565870658,1.0
SPMO,0.8248,0.38142383664507934,0.2142857142857144,0.8918597517009327,0.2853360488798371,0.4606005347681042,0.36238344948450785
SCHM,0.8225,0.40601312847805765,0.11142857142857145,0.46300410288724925,0.38716904276985753,0.44491876351344867,0.8866574475950546
FDL,0.8206,0.17700312300592588,0.5571428571428576,0.6079066960526976,0.835234215885947,0.3403856643395987,0.5686254911893972
VOX,0.8184,0.3831639237301163,0.16857142857142865,0.7814504665029858,0.3138492871690428,0.2543961586482872,0.1
VONG,0.8174,0.42923225836471074,0.1342857142857143,0.6929942092382653,0.2038696537678208,0.5833527570255541,0.34635184906280375
XLF,0.8103,0.2706873402431791,0.1571428571428572,0.5873707882894648,0.4258655804480652,0.9124035414307975,0.10364746635267057
VOOV,0.8084,0.24360767549074042,0.14571428571428577,0.49256078914071144,0.46659877800407334,0.24287948169822005,1.0
VOOG,0.806,0.4083888702860428,0.14571428571428577,0.7120663990696287,0.20997963340122203,0.5141050970110064,0.40461273053383895
VONE,0.8059,0.30047141072628747,0.1342857142857143,0.6100748625023396,0.33217922606924644,0.2653168865451251,0.7432972329093473
SPY,0.7975,0.29976324744655547,0.17428571428571438,0.6130790476209331,0.33217922606924644,1.0,0.6964346837904076
MLPA,0.7925,0.21674109869969777,0.9457142857142864,0.6003989743010298,1.0,0.1466965783370331,0.10628448594547968
SCHA,0.7907,0.5085657784991097,0.11142857142857145,0.47382574782174514,0.33828920570264764,0.5835543694226536,0.8158645617974452
VTHR,0.7863,0.3097868119499219,0.1342857142857143,0.6007635332615892,0.33625254582484726,0.20107276727547563,0.6979996440160466
VXF,0.7813,0.4975933153665457,0.12285714285714289,0.5280710247350362,0.3403258655804481,0.45933578970416156,0.857748812245848
DLN,0.7807,0.16997498364722785,0.385714285714286,0.5371246957630605,0.48900203665987785,0.24749541455086588,0.9293180168955462
VBR,0.7743,0.42861724951568814,0.12285714285714289,0.4825477524270049,0.48900203665987785,0.4820546256994474,0.9061516765475034
XLV,0.7617,0.2525131025784314,0.1571428571428572,0.27873188302621704,0.4482688391038697,0.8335427191363067,0.1
FNDC,0.7607,0.20258596578927568,0.5114285714285718,0.5470472779978313,0.869857433808554,0.18553939959993898,0.8169366211646152
FNDF,0.7582,0.22092403137190264,0.35142857142857165,0.6733080253680653,0.7619144602851324,0.5071657047059126,1.0
IJR,0.7477,0.5220354543464999,0.1342857142857143,0.40218305945981014,0.3627291242362526,0.8354334173769185,0.9048331667510988
