ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment
VNQ,0.31092162345033425,0.2142857142857144,0.29118719067118903,0.9004073319755601,0.7013149851527076,0.1,0.3511115110909331
VBR,0.42861724951568814,0.12285714285714289,0.4825477524270049,0.48900203665987785,0.4820546256994474,0.9061516765475034,0.9102918270690226
SPYV,0.24216822248206998,0.11142857142857145,0.4940464354311108,0.4706720977596742,0.6402481577751648,1.0,0.11297482007624092
GDX,0.8230291646567776,0.648571428571429,1.0,0.24052953156822812,0.8422556271890975,,0.6144028734072818
VGK,0.23478807497185022,0.1342857142857143,0.5063345393422924,0.7130346232179225,0.6319434106044406,,0.3933860590316489
XLI,0.3106309617471493,0.1571428571428572,0.6266225500579503,0.3586558044806518,0.8071387924306714,0.12464504292344976,0.1
EFV,0.21311699595502998,0.4200000000000004,0.6785214926085444,0.9167006109979634,0.6210045976444907,,0.5826350670667659
ACWI,0.25180614312362437,0.4314285714285717,0.5800412344508523,0.4238289205702649,0.660336127399364,0.7079808864000439,0.7092130635797778
MGK,0.4438242741212163,0.12285714285714289,0.7209336790501489,0.1794297352342159,0.5935422044183225,0.29621150923504524,0.6817972764956037
TQQQ,1.0,1.0,1.0,0.25274949083503057,0.8868662468120263,,0.2034310567616141
IUSG,0.4053686174627395,0.11142857142857145,0.6997344384413872,0.21812627291242365,0.47820400407594665,0.34323425113298733,1.0
EEM,0.3125210009463487,0.8885714285714291,0.5456000063348592,0.5399185336048881,0.8552068449926097,,0.5534049715103925
VXF,0.4975933153665457,0.12285714285714289,0.5280710247350362,0.3403258655804481,0.45933578970416156,0.857748812245848,0.35140164570802257
XLU,0.31158340602989376,0.1571428571428572,0.501746030319915,0.6274949083503055,0.8198680115697371,0.1,0.1
MDY,0.4238958896194427,0.32857142857142885,0.43697788235709767,0.33625254582484726,0.4943306825608394,0.8229253665950135,0.3263340147914926
SOXX,0.9510182029532808,0.45428571428571474,0.9726794581076224,0.2038696537678208,0.7181857185028098,0.10776318852088668,0.6063313283598529
IUSV,0.24876890825661743,0.11142857142857145,0.4898115211900277,0.4686354378818738,0.474408558439407,1.0,0.9014891427865281
FNDX,0.23336847387403545,0.35142857142857165,0.5839417412243547,0.4299389002036661,0.6022964082875164,1.0,0.8035261564416601
FNDF,0.22092403137190264,0.35142857142857165,0.6733080253680653,0.7619144602851324,0.5071657047059126,1.0,0.5485307099432895
USMV,0.1,0.23714285714285727,0.39657214072097713,0.4238289205702649,0.5825484607635157,0.8201897668305106,0.8434370743684871
DVY,0.24280579225463517,0.5000000000000003,0.4734584478163696,0.804684317718941,0.43563923756594075,0.751417774552624,0.618035358813242
MTUM,0.40616771803464535,0.23714285714285727,0.6915825711579042,0.2670061099796334,0.4815866020283035,0.5454591508413544,0.617522787656384
VOOG,0.4083888702860428,0.14571428571428577,0.7120663990696287,0.20997963340122203,0.5141050970110064,0.40461273053383895,0.4040572102481995
XLY,0.49552109130755595,0.1571428571428572,0.5068745251710908,0.2670061099796334,0.7665536013731077,0.10199624847679943,0.1
VOE,0.2766873723278223,0.12285714285714289,0.4909846883713763,0.5052953156822811,0.41491911524952074,0.9967714993770281,0.37763755201603266
VBK,0.5211423183988115,0.12285714285714289,0.45638996174567403,0.2059063136456212,0.41104984347704077,0.7232977805769679,0.8577639217603651
RDVY,0.33366332625381134,0.6028571428571433,0.5789996374206829,0.309775967413442,0.4769202412393211,0.5941331106151676,0.8514041709537639
SCHA,0.5085657784991097,0.11142857142857145,0.47382574782174514,0.33828920570264764,0.5835543694226536,0.8158645617974452,0.83494966970323
SDY,0.1907540255928976,0.46571428571428597,0.34743068925551557,0.615274949083503,0.40512196531933853,0.9258430658433396,0.47260828334331795
EWJ,0.29577194803043805,0.6257142857142861,0.5605880393900323,0.9818737270875765,0.701183051516987,,0.2651291502010794
IYW,0.5450135054007647,0.5000000000000003,0.8110044117116318,0.13054989816700613,0.4884288040238124,0.1439790790968961,0.3671733634930059
IWP,0.4597842512629654,0.32857142857142885,0.458371737147812,0.17331975560081467,0.46282876319667227,0.7232977805769679,0.15006369529417768
VYMI,0.1897463237641705,0.14571428571428577,0.6742591679192989,0.8413441955193484,0.43156804087511136,,0.6658804914020756
OEF,0.3265771291078741,0.2942857142857145,0.6807746314474896,0.29959266802443996,0.4181638133300365,0.4625039363610225,0.49528327078425005
EWY,0.6340081491214709,0.7400000000000005,0.9158850095152327,0.44419551934826884,0.6878843475774692,,0.7919091663733979
IWV,0.30687082094127993,0.2942857142857145,0.599176468312989,0.3016293279022404,0.3801348789037106,0.7100141024412284,0.7311259640931548
VONV,0.22082278776304975,0.1342857142857143,0.5051997467883712,0.4706720977596742,0.4387090532212421,1.0,0.7909923409833952
SPYG,0.4085272409731956,0.11142857142857145,0.7136178304356177,0.21812627291242365,0.687142513580242,0.4145816503963744,0.12701733554337113
VOT,0.3847965568111924,0.12285714285714289,0.40222965722168613,0.24663951120162933,0.3763376614416174,0.7203526979476156,0.36371495885729943
SPEM,0.29136857913332204,0.14571428571428577,0.509034468486284,0.6784114052953157,0.5225795208456046,,0.9626707966075743
SPHQ,0.2503304050064017,0.23714285714285727,0.6131969125480312,0.3423625254582485,0.47225685277719953,0.6412174651204184,0.4911981753756304
SPMD,0.4239104268989456,0.1,0.44657428025873647,0.3790224032586559,0.48906550579827535,0.777886550652409,0.15212558530629353
VHT,0.25051181973955416,0.16857142857142865,0.28351500623054715,0.45030549898167005,0.3653993233726026,0.1,0.6440294862736776
FTEC,0.5590380647938451,0.16171428571428578,0.7434869957981307,0.19368635437881876,0.40346456023530186,0.1,0.4378830381392701
DGRW,0.2224030756085335,0.385714285714286,0.49643114442123537,0.3912423625254583,0.4209032423070088,0.8716486164546736,0.8707058599133358
IWY,0.432491239497183,0.2942857142857145,0.719162964098861,0.1794297352342159,0.39253572905203554,0.29631008940673903,0.7264064409884995
EFG,0.28844248744166534,0.45428571428571474,0.333511663678674,0.6254582484725051,0.4488811929971087,,0.3516743722480866
VTWO,0.5257394995600531,0.1342857142857143,0.47471384634220526,0.3566191446028514,0.5332294441584153,0.8251187754152005,0.688721822690139
IWS,0.3311830155004826,0.32857142857142885,0.4692098283512053,0.4014256619144604,0.38498647904853645,0.9983857496885141,0.1370714671409114
SPSM,0.5207253891815511,0.1,0.4027340094678734,0.4238289205702649,0.4976862608788413,0.8847597792899489,0.12474268014538968
XLP,0.16952318546179335,0.1571428571428572,0.27887715840147753,0.6397148676171079,0.7668521587055679,0.1,0.1
GSLC,0.29128166287411067,0.16857142857142865,0.5781526545724665,0.31588594704684325,0.3678667594449511,0.6792324438298397,0.2980168761635607
SCZ,0.24059924298522203,0.5228571428571432,0.47889942177659617,0.7659877800407332,0.4517913952010857,,0.5238537936444401
ITA,0.31596326535964786,0.5000000000000003,0.7954791338724767,0.19979633401221997,0.3908378317065943,0.10019716034338759,0.6434318089624733
SCHM,0.40601312847805765,0.11142857142857145,0.46300410288724925,0.38716904276985753,0.44491876351344867,0.8866574475950546,0.3372953006251327
SOXL,1.0,0.9228571428571435,1.0,0.1325865580448065,0.8373716152651878,,0.40908234181618897
HDV,0.11932336414237454,0.1571428571428572,0.4975083750340157,0.6947046843177189,0.525526457704518,0.5889083615153964,0.4327553923399089
SPMO,0.38142383664507934,0.2142857142857144,0.8918597517009327,0.2853360488798371,0.4606005347681042,0.36238344948450785,0.15315072762000964
IWN,0.5064261396564718,0.3400000000000002,0.4857931494894272,0.4319755600814664,0.4409246027289568,0.835716143872284,0.13179875403300548
IWO,0.5576679779541369,0.3400000000000002,0.44851219894381456,0.19775967413441956,0.3809907387355007,0.670754549064173,0.1286478920914139
IQLT,0.2097444797134401,0.4085714285714289,0.44815586311770406,0.5663951120162933,0.4633955261755279,,0.4329700919565551
VFH,0.3106322817359407,0.16857142857142865,0.6064046034934009,0.42790224032586566,0.36925060332772475,0.10354888618097677,0.78838112942959
SPTM,0.29648730081474656,0.1,0.6011500205806782,0.3443991853360489,0.3861842573958725,0.6894478141216096,1.0
AMLP,0.23361271666383238,1.0,0.6702407962186984,1.0,0.4468452715988685,0.1047072031983789,0.5688846204475058
SCHE,0.2909876191993343,0.14571428571428577,0.4977139533952333,0.6987780040733198,0.45219779180637115,0.8073373769459314,0.89484699428596
MOAT,0.3453099804252632,0.5914285714285719,0.4084271595511936,0.39531568228105907,0.398585716523671,0.6960403631036324,0.6468882793673991
